# Intent Classification Training Data
# Format: intent|örnek_cümle
# Kategoriler: motor, fren, elektrik, klima, sanziman, lastik, suspansiyon, egzoz, bakim, selamlama, kapsam_disi

# ==================== MOTOR SORUNLARI ====================
bakim|Hava filtresi ne zaman değişir
bakim|Yakıt filtresi değişimi
bakim|Polen filtresi bakımı
bakim|Buji değişim zamanı
bakim|Bobin bakımı gerekir mi
bakim|Triger seti ne zaman değişir
bakim|V kayış değişimi
bakim|Balata kontrolü nasıl yapılır
bakim|Fren hidrolik kontrolü
bakim|Antifriz kontrolü
bakim|Antifriz rengi önemli mi
bakim|Cam suyu hangisi kullanılmalı
bakim|Silecek lastiği değişimi
bakim|Far lambası temizliği
bakim|Far parlatma işlemi
bakim|Boya koruma
bakim|Seramik kaplama nedir
bakim|Araç yıkama ipuçları
bakim|Motor yıkama yapılmalı mı
bakim|Şase temizliği gerekli mi
bakim|Pas koruması nasıl yapılır
bakim|Alt koruma nedir
bakim|Araç cilalama
bakim|Hava süspansiyon bakımı
bakim|Akü bakımı kış öncesi
bakim|Kışa hazırlık bakımı
bakim|Yaza hazırlık bakımı
bakim|Uzun yol öncesi kontroller
bakim|İkinci el araç alırken kontroller
bakim|Ekspertiz yaptırmalı mıyım
bakim|Tramer kaydı nedir
bakim|Araç değeri nasıl anlaşılır
bakim|Araç kilometre kontrolü
bakim|Kilometre düşürme nasıl anlaşılır
bakim|Garanti kapsamında bakım
bakim|Yetkili servis mi özel servis mi
bakim|Özel servis garantiyi bozar mı
bakim|Bakım maliyeti nasıl düşürülür
bakim|Muadil yedek parça kullanılır mı
bakim|OEM parça nedir
bakim|Orijinal yedek parça nereden alınır
bakim|Online yedek parça güvenilir mi
bakim|Araç garanti süresi
bakim|Uzatılmış garanti alınmalı mı
bakim|Sigorta kasko farkı
bakim|Kasko hangi hasarları karşılar
bakim|Trafik sigortası zorunlu mu
bakim|Araç muayenesi nasıl yapılır
bakim|Muayene randevusu nasıl alınır
bakim|Muayeneden kalmamak için
bakim|Egzoz emisyon muayenesi
bakim|Fenni muayene kontrol listesi
bakim|MTV ne zaman ödenir
bakim|Araç vergisi hesaplama
bakim|2024 MTV tablosu
bakim|Trafik cezası sorgulama
bakim|E devlet araç sorgulama
bakim|Plaka sorgulama
bakim|Araç sicil kaydı
bakim|Rehin sorgulama
bakim|Haciz sorgulama
bakim|Araç devir işlemleri
bakim|Vekaletname ile satış
bakim|Araç satış sonrası yapılacaklar
bakim|Yeni araç teslim kontrolleri
bakim|0 km araç nasıl kullanılır
bakim|Rodaj dönemi nedir
bakim|İlk 1000 km dikkat edilecekler
bakim|Uzun süre kullanılmayan araç bakımı
bakim|Garajda bekleyen araç
bakim|Araç nasıl saklanır
bakim|Mevsimsel araç bakımı
bakim|Araç temizlik ürünleri
bakim|İç mekan temizliği
bakim|Deri koltuk bakımı
bakim|Kumaş koltuk temizliği
bakim|Paspas temizliği
bakim|Araç parfümü zararlı mı
bakim|Torpido bakımı
bakim|Cam temizliği nasıl yapılır
bakim|Araç bakım uygulamaları
bakim|Bakım takip programı
bakim|Servis randevusu nasıl alınır

# ==================== SELAMLAMA ====================
selamlama|Merhaba
selamlama|Selam
selamlama|Günaydın
selamlama|İyi akşamlar
selamlama|İyi geceler
selamlama|Nasılsın
selamlama|Naber
selamlama|Ne haber
selamlama|Hoş geldin
selamlama|Hello
selamlama|Hi
selamlama|Hey
selamlama|Selamlar
selamlama|Merhabalar
selamlama|Herkese merhaba
selamlama|İyi günler
selamlama|Hayırlı günler
selamlama|Sana da merhaba
selamlama|Teşekkürler
selamlama|Teşekkür ederim
selamlama|Sağol
selamlama|Sağolasın
selamlama|Çok teşekkürler
selamlama|Rica ederim
selamlama|Bir şey değil
selamlama|Önemli değil
selamlama|Hoşça kal
selamlama|Görüşürüz
selamlama|İyi günler dilerim
selamlama|Kendine iyi bak
selamlama|Bye
selamlama|Goodbye
selamlama|Bay bay
selamlama|Hadi görüşürüz
selamlama|Sonra görüşürüz
selamlama|Yarın görüşürüz
selamlama|İyi çalışmalar
selamlama|Kolay gelsin
selamlama|Allah kolaylık versin
selamlama|Hayırlı işler
selamlama|Sen kimsin
selamlama|Kimsin sen
selamlama|Nesin sen
selamlama|Ne yapabilirsin
selamlama|Bana nasıl yardımcı olabilirsin
selamlama|Yardım eder misin
selamlama|Yardımına ihtiyacım var
selamlama|Bir sorum var
selamlama|Sormak istiyorum
selamlama|Merak ediyorum
selamlama|Bilgi alabilir miyim
selamlama|Danışmak istiyorum
selamlama|Senin adın ne
selamlama|Adın ne
selamlama|İsmin ne
selamlama|Kendini tanıt
selamlama|Tanışalım mı
selamlama|Sen yapay zeka mısın
selamlama|Robot musun
selamlama|Bot musun
selamlama|Gerçek insan mısın
selamlama|Canlı destek misin
selamlama|Araba uzmanı mısın
selamlama|Araç konusunda yardımcı olur musun
selamlama|Oto tamircisi misin
selamlama|Usta mısın
selamlama|Mekanikçi misin
selamlama|Teknik destek misin
selamlama|Hangi konularda yardım edersin
selamlama|Ne hakkında soru sorabilirim
selamlama|Uzmanlık alanın ne
selamlama|Neler biliyorsun
selamlama|Hangi markalar hakkında bilgin var
selamlama|Türkçe konuşuyor musun
selamlama|Türkçe biliyor musun
selamlama|İngilizce konuşuyor musun
selamlama|Çalışma saatlerin ne
selamlama|7/24 müsün
selamlama|Her zaman burada mısın
selamlama|Ne zaman müsait olursun
selamlama|Aa
selamlama|Hmm
selamlama|Şey
selamlama|Peki
selamlama|Tamam
selamlama|Ok
selamlama|Anladım
selamlama|Evet
selamlama|Hayır
selamlama|Olabilir
selamlama|Belki
selamlama|Bilmiyorum

# ==================== KAPSAM DIŞI ====================
kapsam_disi|Yemek tarifi ver
kapsam_disi|Pizza nasıl yapılır
kapsam_disi|Kek tarifi
kapsam_disi|Bugün ne pişirsem
kapsam_disi|En iyi restoran nerede
kapsam_disi|Yemek siparişi nasıl verilir
kapsam_disi|Doktor tavsiye eder misin
kapsam_disi|Hastaneye gitmeli miyim
kapsam_disi|Başım ağrıyor
kapsam_disi|Mide ağrısına ne iyi gelir
kapsam_disi|İlaç önerir misin
kapsam_disi|Ateşim var ne yapmalıyım
kapsam_disi|Grip oldum
kapsam_disi|Corona belirtileri nelerdir
kapsam_disi|Sağlık problemi var
kapsam_disi|Diyet önerisi
kapsam_disi|Kilo vermek istiyorum
kapsam_disi|Spor programı
kapsam_disi|Python kodu yaz
kapsam_disi|JavaScript öğrenmek istiyorum
kapsam_disi|Program yazmayı öğret
kapsam_disi|App nasıl yapılır
kapsam_disi|Web sitesi yapabilir misin
kapsam_disi|Kod hatası var yardım et
kapsam_disi|Algoritma sorusu
kapsam_disi|Database tasarımı
kapsam_disi|Matematik sorusu
kapsam_disi|Fizik formülü
kapsam_disi|Kimya sorusu
kapsam_disi|Biyoloji ödevi
kapsam_disi|Tarih sorusu
kapsam_disi|Coğrafya sorusu
kapsam_disi|Edebiyat analizi
kapsam_disi|Şiir yaz
kapsam_disi|Hikaye yaz
kapsam_disi|Makale yaz
kapsam_disi|Ödev yap
kapsam_disi|Tez konusu bul
kapsam_disi|Siyaset hakkında ne düşünüyorsun
kapsam_disi|Seçimler nasıl olacak
kapsam_disi|Hangi parti iyi
kapsam_disi|Ekonomi nasıl
kapsam_disi|Dolar ne olacak
kapsam_disi|Altın almalı mıyım
kapsam_disi|Borsa tavsiyesi
kapsam_disi|Kripto para önerisi
kapsam_disi|Bitcoin almalı mıyım
kapsam_disi|Emlak yatırımı
kapsam_disi|Ev almak mı kiralamak mı
kapsam_disi|Hava durumu nasıl
kapsam_disi|Yarın yağmur yağacak mı
kapsam_disi|Tatil önerisi
kapsam_disi|Nereye gitmeli
kapsam_disi|Otel tavsiyesi
kapsam_disi|Uçak bileti fiyatları
kapsam_disi|Vize nasıl alınır
kapsam_disi|Pasaport başvurusu
kapsam_disi|Film önerisi
kapsam_disi|Dizi tavsiyesi
kapsam_disi|En iyi film hangisi
kapsam_disi|Netflix de ne izlemeliyim
kapsam_disi|Müzik önerisi
kapsam_disi|Şarkı sözleri
kapsam_disi|Hangi sanatçı daha iyi
kapsam_disi|Konser biletleri
kapsam_disi|Oyun önerisi
kapsam_disi|Hangi oyun güzel
kapsam_disi|Playstation mu Xbox mu
kapsam_disi|Bilgisayar toplama
kapsam_disi|Telefon önerisi
kapsam_disi|iPhone mı Samsung mu
kapsam_disi|Laptop tavsiyesi
kapsam_disi|Tablet almalı mıyım
kapsam_disi|Kahve nasıl yapılır
kapsam_disi|Çay demleme
kapsam_disi|Alkol zararlı mı
kapsam_disi|Sigara nasıl bırakılır
kapsam_disi|İlişki tavsiyesi
kapsam_disi|Flört nasıl edilir
kapsam_disi|Evlilik önerisi
kapsam_disi|Çocuk yetiştirme
kapsam_disi|Evcil hayvan bakımı
kapsam_disi|Köpek maması
kapsam_disi|Kedi bakımı
kapsam_disi|Bahçe düzenleme
kapsam_disi|Ev dekorasyon
kapsam_disi|Boya rengi önerisi
kapsam_disi|Mobilya tavsiyesi
kapsam_disi|Maç sonucu ne oldu
kapsam_disi|Futbol haberleri
kapsam_disi|Basketbol maçı
kapsam_disi|Galatasaray mı Fenerbahçe mi
kapsam_disi|Milli takım
kapsam_disi|Transfer haberleri
kapsam_disi|Spor bahis
kapsam_disi|İddaa tahmini
kapsam_disi|Sınav sorusu çöz
kapsam_disi|KPSS çalışıyorum
kapsam_disi|YKS hazırlık
kapsam_disi|İngilizce öğret
kapsam_disi|Almanca çeviri yap
kapsam_disi|Çeviri yapabilir misin
kapsam_disi|Metin özetle
kapsam_disi|Bu yazıyı düzelt
